Clustering;Tool;Total_significant_motifs;Mean_ER;Median_ER;N_infinite_ER;Mean_hits_AMP;Mean_hits_nonAMP;Mean_Total_hits;Mean_AMP_hit_frequency_pct;Median_AMP_hit_frequency_pct
cdhit;meme;42;435.035541559594;120.48030303030302;16;430.8095238095238;115.21428571428571;611.1428571428571;7.211428571428572;5.125
cdhit;streme;57;490.24113409474694;82.85714285714286;40;211.59649122807016;17.42105263157895;260.8421052631579;3.8007017543859645;2.21
mmseq;meme;43;432.87821242936144;49.14529914529914;10;546.6046511627907;269.4651162790698;851.5581395348837;6.56093023255814;5.4
mmseq;streme;66;171.69815748515555;66.96969696969697;7;258.7121212121212;39.34848484848485;344.40909090909093;3.0654545454545454;1.72
