Clustering;Tool;Total_motifs;Significant_FDR_n;Mean_ER;Median_ER;N_infinite_ER;Mean_log10_ER;Significant_FDR_%;Frac_infinite_ER
cdhit;meme;45;42;390.1362686409977;54.68531468531469;16;1.6686010353229594;93.33333333333333;0.356
cdhit;streme;57;57;490.24113409474694;82.85714285714286;40;1.9924438148770216;100.0;0.702
mmseq;meme;45;43;408.1850627298708;46.84049079754601;10;1.6015865066925237;95.55555555555556;0.222
mmseq;streme;73;66;153.61320925956667;53.678955453149;7;1.638606410710547;90.41095890410959;0.096
