condition,fasta,count,min,max,mean,std,p50,p90
cdhit_amp,/mnt/c/Users/mirei/Desktop/AMP-Comparative-Clustering-and-Motif-Analysis/results/clustering/AMP_MASTER_cdhit.fasta,8682,11,80,32.60976733471551,19.756680136416435,25.0,65.0
cdhit_nonamp,/mnt/c/Users/mirei/Desktop/AMP-Comparative-Clustering-and-Motif-Analysis/results/clustering/NONAMP_cdhit.fasta,202734,11,35213,385.0350656525299,374.32732850751313,309.0,703.0
mmseq_amp,/mnt/c/Users/mirei/Desktop/AMP-Comparative-Clustering-and-Motif-Analysis/results/clustering/AMP_MASTER_mmseq_rep_seq.fasta,13495,5,80,23.423564283067805,19.351752448488085,15.0,59.0
mmseq_nonamp,/mnt/c/Users/mirei/Desktop/AMP-Comparative-Clustering-and-Motif-Analysis/results/clustering/NONAMP_mmseq_rep_seq.fasta,197902,5,35213,383.54607330901155,373.11871708635744,308.0,701.0
